date,number_of_checks,count
2021-01-01,1-6,<20
2021-01-01,7-12,<20
2021-01-01,13-30,<20
2021-01-01,30+,<20
2021-01-02,1-6,<20
2021-01-02,7-12,<20
2021-01-02,13-30,<20
2021-01-02,30+,<20
2021-01-03,1-6,<20
2021-01-03,7-12,<20
2021-01-03,13-30,<20
2021-01-03,30+,<20
2021-01-04,1-6,<20
2021-01-04,7-12,<20
2021-01-04,13-30,<20
2021-01-04,30+,<20
2021-01-05,1-6,<20
2021-01-05,7-12,<20
2021-01-05,13-30,<20
2021-01-05,30+,<20
2021-01-06,1-6,<20
2021-01-06,7-12,<20
2021-01-06,13-30,<20
2021-01-06,30+,<20
2021-01-07,1-6,<20
2021-01-07,7-12,<20
2021-01-07,13-30,<20
2021-01-07,30+,<20
2021-01-08,1-6,<20
2021-01-08,7-12,<20
2021-01-08,13-30,<20
2021-01-08,30+,<20
2021-01-09,1-6,<20
2021-01-09,7-12,<20
2021-01-09,13-30,<20
2021-01-09,30+,<20
2021-01-10,1-6,<20
2021-01-10,7-12,<20
2021-01-10,13-30,<20
2021-01-10,30+,<20
2021-01-11,1-6,<20
2021-01-11,7-12,<20
2021-01-11,13-30,<20
2021-01-11,30+,<20
2021-01-12,1-6,<20
2021-01-12,7-12,<20
2021-01-12,13-30,<20
2021-01-12,30+,<20
2021-01-13,1-6,<20
2021-01-13,7-12,<20
2021-01-13,13-30,<20
2021-01-13,30+,<20
2021-01-14,1-6,<20
2021-01-14,7-12,<20
2021-01-14,13-30,<20
2021-01-14,30+,<20
2021-01-15,1-6,<20
2021-01-15,7-12,<20
2021-01-15,13-30,<20
2021-01-15,30+,<20
2021-01-16,1-6,<20
2021-01-16,7-12,<20
2021-01-16,13-30,<20
2021-01-16,30+,<20
2021-01-17,1-6,<20
2021-01-17,7-12,<20
2021-01-17,13-30,<20
2021-01-17,30+,<20
2021-01-18,1-6,<20
2021-01-18,7-12,<20
2021-01-18,13-30,<20
2021-01-18,30+,<20
2021-01-19,1-6,<20
2021-01-19,7-12,<20
2021-01-19,13-30,<20
2021-01-19,30+,<20
2021-01-20,1-6,<20
2021-01-20,7-12,<20
2021-01-20,13-30,<20
2021-01-20,30+,<20
2021-01-21,1-6,<20
2021-01-21,7-12,<20
2021-01-21,13-30,<20
2021-01-21,30+,<20
2021-01-22,1-6,<20
2021-01-22,7-12,<20
2021-01-22,13-30,<20
2021-01-22,30+,<20
2021-01-23,1-6,<20
2021-01-23,7-12,<20
2021-01-23,13-30,<20
2021-01-23,30+,<20
2021-01-24,1-6,<20
2021-01-24,7-12,<20
2021-01-24,13-30,<20
2021-01-24,30+,<20
2021-01-25,1-6,<20
2021-01-25,7-12,<20
2021-01-25,13-30,<20
2021-01-25,30+,<20
2021-01-26,1-6,<20
2021-01-26,7-12,<20
2021-01-26,13-30,<20
2021-01-26,30+,<20
2021-01-27,1-6,<20
2021-01-27,7-12,<20
2021-01-27,13-30,<20
2021-01-27,30+,<20
2021-01-28,1-6,<20
2021-01-28,7-12,<20
2021-01-28,13-30,<20
2021-01-28,30+,<20
2021-01-29,1-6,<20
2021-01-29,7-12,<20
2021-01-29,13-30,<20
2021-01-29,30+,<20
2021-01-30,1-6,<20
2021-01-30,7-12,<20
2021-01-30,13-30,<20
2021-01-30,30+,<20
2021-01-31,1-6,<20
2021-01-31,7-12,<20
2021-01-31,13-30,<20
2021-01-31,30+,<20
2021-02-01,1-6,<20
2021-02-01,7-12,<20
2021-02-01,13-30,<20
2021-02-01,30+,<20
2021-02-02,1-6,<20
2021-02-02,7-12,<20
2021-02-02,13-30,<20
2021-02-02,30+,<20
2021-02-03,1-6,<20
2021-02-03,7-12,<20
2021-02-03,13-30,<20
2021-02-03,30+,<20
2021-02-04,1-6,<20
2021-02-04,7-12,<20
2021-02-04,13-30,<20
2021-02-04,30+,<20
2021-02-05,1-6,<20
2021-02-05,7-12,<20
2021-02-05,13-30,<20
2021-02-05,30+,<20
2021-02-06,1-6,<20
2021-02-06,7-12,<20
2021-02-06,13-30,<20
2021-02-06,30+,<20
2021-02-07,1-6,<20
2021-02-07,7-12,<20
2021-02-07,13-30,<20
2021-02-07,30+,<20
2021-02-08,1-6,<20
2021-02-08,7-12,<20
2021-02-08,13-30,<20
2021-02-08,30+,<20
2021-02-09,1-6,<20
2021-02-09,7-12,<20
2021-02-09,13-30,<20
2021-02-09,30+,<20
2021-02-10,1-6,<20
2021-02-10,7-12,<20
2021-02-10,13-30,<20
2021-02-10,30+,<20
2021-02-11,1-6,<20
2021-02-11,7-12,<20
2021-02-11,13-30,<20
2021-02-11,30+,<20
2021-02-12,1-6,<20
2021-02-12,7-12,<20
2021-02-12,13-30,<20
2021-02-12,30+,<20
2021-02-13,1-6,<20
2021-02-13,7-12,<20
2021-02-13,13-30,<20
2021-02-13,30+,<20
2021-02-14,1-6,<20
2021-02-14,7-12,<20
2021-02-14,13-30,<20
2021-02-14,30+,<20
2021-02-15,1-6,<20
2021-02-15,7-12,<20
