date,region,appos,count
2021-03-03,NT,android,434
2021-03-03,NT,ios,1834
2021-03-03,NS,android,25342
2021-03-03,NS,ios,83478
2021-03-03,NU,android,147
2021-03-03,NU,ios,438
2021-03-03,ON,android,287645
2021-03-03,ON,ios,1018803
2021-03-03,PE,android,4738
2021-03-03,PE,ios,14516
2021-03-03,QC,android,165003
2021-03-03,QC,ios,484364
2021-03-03,SK,android,12961
2021-03-03,SK,ios,58333
2021-03-03,YT,android,165
2021-03-03,YT,ios,848
2021-03-03,NPTS,android,24746
2021-03-03,NPTS,ios,182412
2021-03-04,AB,android,11320
2021-03-04,AB,ios,74104
2021-03-04,BC,android,22687
2021-03-04,BC,ios,149448
2021-03-04,MB,android,18925
2021-03-04,MB,ios,99201
2021-03-04,NB,android,18962
2021-03-04,NB,ios,57886
2021-03-04,NL,android,23574
2021-03-04,NL,ios,91693
2021-03-04,NT,android,425
2021-03-04,NT,ios,1863
2021-03-04,NS,android,25411
2021-03-04,NS,ios,84379
2021-03-04,NU,android,143
2021-03-04,NU,ios,448
2021-03-04,ON,android,290884
2021-03-04,ON,ios,1031247
2021-03-04,PE,android,4667
2021-03-04,PE,ios,14649
2021-03-04,QC,android,166929
2021-03-04,QC,ios,490645
2021-03-04,SK,android,13113
2021-03-04,SK,ios,59007
2021-03-04,YT,android,174
2021-03-04,YT,ios,862
2021-03-04,NPTS,android,25213
2021-03-04,NPTS,ios,185538
2021-03-05,AB,android,11421
2021-03-05,AB,ios,74487
2021-03-05,BC,android,22905
2021-03-05,BC,ios,150490
2021-03-05,MB,android,19145
2021-03-05,MB,ios,99951
2021-03-05,NB,android,19122
2021-03-05,NB,ios,58304
2021-03-05,NL,android,23493
2021-03-05,NL,ios,92346
2021-03-05,NT,android,428
2021-03-05,NT,ios,1885
2021-03-05,NS,android,25443
2021-03-05,NS,ios,85041
2021-03-05,NU,android,142
2021-03-05,NU,ios,443
2021-03-05,ON,android,292929
2021-03-05,ON,ios,1039435
2021-03-05,PE,android,4647
2021-03-05,PE,ios,14770
2021-03-05,QC,android,168215
2021-03-05,QC,ios,494559
2021-03-05,SK,android,13167
2021-03-05,SK,ios,59403
2021-03-05,YT,android,173
2021-03-05,YT,ios,868
2021-03-05,NPTS,android,25917
2021-03-05,NPTS,ios,188954
2021-03-06,AB,android,11499
2021-03-06,AB,ios,74812
2021-03-06,BC,android,22958
2021-03-06,BC,ios,151047
2021-03-06,MB,android,19357
2021-03-06,MB,ios,100263
2021-03-06,NB,android,19334
2021-03-06,NB,ios,58568
2021-03-06,NL,android,23706
2021-03-06,NL,ios,92527
2021-03-06,NT,android,442
