date,region,count
2021-03-12,NB,80090
2021-03-12,NL,118677
2021-03-12,NT,2427
2021-03-12,NS,113616
2021-03-12,NU,625
2021-03-12,ON,1382024
2021-03-12,PE,19744
2021-03-12,QC,688931
2021-03-12,SK,74729
2021-03-12,YT,1083
2021-03-12,NPTS,228212
2021-03-13,AB,87529
2021-03-13,BC,176941
2021-03-13,MB,122371
2021-03-13,NB,79816
2021-03-13,NL,118187
2021-03-13,NT,2435
2021-03-13,NS,113529
2021-03-13,NU,628
2021-03-13,ON,1380194
2021-03-13,PE,19776
2021-03-13,QC,686935
2021-03-13,SK,74709
2021-03-13,YT,1069
2021-03-13,NPTS,228950
2021-03-14,AB,87471
2021-03-14,BC,176896
2021-03-14,MB,122516
2021-03-14,NB,80031
2021-03-14,NL,118169
2021-03-14,NT,2414
2021-03-14,NS,113615
2021-03-14,NU,627
2021-03-14,ON,1380874
2021-03-14,PE,19716
2021-03-14,QC,686475
2021-03-14,SK,74733
2021-03-14,YT,1070
2021-03-14,NPTS,229783
2021-03-15,AB,87675
2021-03-15,BC,177108
2021-03-15,MB,122887
2021-03-15,NB,80165
2021-03-15,NL,118391
2021-03-15,NT,2421
2021-03-15,NS,113906
2021-03-15,NU,627
2021-03-15,ON,1386734
2021-03-15,PE,19748
2021-03-15,QC,688327
2021-03-15,SK,75029
2021-03-15,YT,1077
2021-03-15,NPTS,231391
2021-03-16,AB,87738
2021-03-16,BC,177340
2021-03-16,MB,123083
2021-03-16,NB,80252
2021-03-16,NL,118570
2021-03-16,NT,2423
2021-03-16,NS,114125
2021-03-16,NU,638
2021-03-16,ON,1389402
2021-03-16,PE,19698
2021-03-16,QC,689155
2021-03-16,SK,75200
2021-03-16,YT,1080
2021-03-16,NPTS,232871
2021-03-17,AB,87850
2021-03-17,BC,177334
2021-03-17,MB,123342
2021-03-17,NB,80361
2021-03-17,NL,118496
2021-03-17,NT,2447
2021-03-17,NS,114329
2021-03-17,NU,639
2021-03-17,ON,1392760
2021-03-17,PE,19678
2021-03-17,QC,689408
2021-03-17,SK,75487
2021-03-17,YT,1077
2021-03-17,NPTS,235342
2021-03-18,AB,87755
2021-03-18,BC,177351
2021-03-18,MB,123481
2021-03-18,NB,80428
2021-03-18,NL,118720
2021-03-18,NT,2478
2021-03-18,NS,114582
2021-03-18,NU,637
2021-03-18,ON,1395032
2021-03-18,PE,19706
2021-03-18,QC,690106
2021-03-18,SK,75654
2021-03-18,YT,1088
2021-03-18,NPTS,235974
2021-03-19,AB,87805
2021-03-19,BC,177229
2021-03-19,MB,123646
2021-03-19,NB,80459
2021-03-19,NL,118483
2021-03-19,NT,2478
2021-03-19,NS,114753
2021-03-19,NU,633
2021-03-19,ON,1397313
2021-03-19,PE,19767
2021-03-19,QC,689402
2021-03-19,SK,75692
2021-03-19,YT,1079
2021-03-19,NPTS,236513
2021-03-20,AB,87532
2021-03-20,BC,177108
2021-03-20,MB,123322
2021-03-20,NB,80161
2021-03-20,NL,117855
2021-03-20,NT,2476
2021-03-20,NS,114631
2021-03-20,NU,636
2021-03-20,ON,1394332
2021-03-20,PE,19719
2021-03-20,QC,687013
2021-03-20,SK,75646
2021-03-20,YT,1078
2021-03-20,NPTS,236784
2021-03-21,AB,87455
2021-03-21,BC,176853
2021-03-21,MB,123055
2021-03-21,NB,80178
2021-03-21,NL,117845
2021-03-21,NT,2479
2021-03-21,NS,114648
2021-03-21,NU,643
2021-03-21,ON,1394028
2021-03-21,PE,19773
2021-03-21,QC,686153
2021-03-21,SK,75612
2021-03-21,YT,1079
2021-03-21,NPTS,237031
2021-03-22,AB,87515
2021-03-22,BC,176905
2021-03-22,MB,123604
2021-03-22,NB,80466
2021-03-22,NL,118039
2021-03-22,NT,2481
2021-03-22,NS,115158
2021-03-22,NU,641
2021-03-22,ON,1400890
2021-03-22,PE,19818
2021-03-22,QC,688809
2021-03-22,SK,75810
2021-03-22,YT,1090
2021-03-22,NPTS,238751
2021-03-23,AB,87535
2021-03-23,BC,177080
2021-03-23,MB,123977
2021-03-23,NB,80801
2021-03-23,NL,118261
2021-03-23,NT,2498
2021-03-23,NS,115600
2021-03-23,NU,642
2021-03-23,ON,1405363
2021-03-23,PE,19859
2021-03-23,QC,690280
2021-03-23,SK,76044
2021-03-23,YT,1083
2021-03-23,NPTS,241409
2021-03-24,AB,87500
2021-03-24,BC,177057
2021-03-24,MB,123877
2021-03-24,NB,80975
2021-03-24,NL,118362
2021-03-24,NT,2496
2021-03-24,NS,115794
2021-03-24,NU,652
2021-03-24,ON,1408286
2021-03-24,PE,19875
2021-03-24,QC,691839
2021-03-24,SK,76366
2021-03-24,YT,1091
2021-03-24,NPTS,241576
2021-03-25,AB,87521
2021-03-25,BC,177187
2021-03-25,MB,124354
2021-03-25,NB,81422
2021-03-25,NL,118602
2021-03-25,NT,2518
2021-03-25,NS,116353
2021-03-25,NU,656
2021-03-25,ON,1413971
2021-03-25,PE,19965
2021-03-25,QC,694712
2021-03-25,SK,76789
2021-03-25,YT,1093
2021-03-25,NPTS,242973
2021-03-26,AB,87597
2021-03-26,BC,177401
2021-03-26,MB,124537
2021-03-26,NB,81611
2021-03-26,NL,118506
2021-03-26,NT,2519
2021-03-26,NS,116604
2021-03-26,NU,658
2021-03-26,ON,1415901
2021-03-26,PE,19991
2021-03-26,QC,695065
2021-03-26,SK,76998
2021-03-26,YT,1093
2021-03-26,NPTS,243919
2021-03-27,AB,87596
2021-03-27,BC,176963
2021-03-27,MB,124212
2021-03-27,NB,81374
2021-03-27,NL,117848
2021-03-27,NT,2542
