date,region,count
2021-03-13,NS,113503
2021-03-13,NU,627
2021-03-13,ON,1380031
2021-03-13,PE,19773
2021-03-13,QC,686802
2021-03-13,SK,74701
2021-03-13,YT,1069
2021-03-13,NPTS,228811
2021-03-14,AB,87464
2021-03-14,BC,176883
2021-03-14,MB,122508
2021-03-14,NB,80012
2021-03-14,NL,118149
2021-03-14,NT,2412
2021-03-14,NS,113597
2021-03-14,NU,627
2021-03-14,ON,1380692
2021-03-14,PE,19716
2021-03-14,QC,686360
2021-03-14,SK,74720
2021-03-14,YT,1070
2021-03-14,NPTS,229655
2021-03-15,AB,87668
2021-03-15,BC,177099
2021-03-15,MB,122874
2021-03-15,NB,80142
2021-03-15,NL,118361
2021-03-15,NT,2420
2021-03-15,NS,113881
2021-03-15,NU,627
2021-03-15,ON,1386569
2021-03-15,PE,19743
2021-03-15,QC,688203
2021-03-15,SK,75013
2021-03-15,YT,1076
2021-03-15,NPTS,231243
2021-03-16,AB,87732
2021-03-16,BC,177329
2021-03-16,MB,123073
2021-03-16,NB,80235
2021-03-16,NL,118545
2021-03-16,NT,2420
2021-03-16,NS,114094
2021-03-16,NU,638
2021-03-16,ON,1389204
2021-03-16,PE,19695
2021-03-16,QC,689031
2021-03-16,SK,75189
2021-03-16,YT,1080
2021-03-16,NPTS,232727
2021-03-17,AB,87843
2021-03-17,BC,177317
2021-03-17,MB,123327
2021-03-17,NB,80338
2021-03-17,NL,118473
2021-03-17,NT,2445
2021-03-17,NS,114304
2021-03-17,NU,639
2021-03-17,ON,1392544
2021-03-17,PE,19676
2021-03-17,QC,689262
2021-03-17,SK,75477
2021-03-17,YT,1077
2021-03-17,NPTS,235168
2021-03-18,AB,87749
2021-03-18,BC,177328
2021-03-18,MB,123471
2021-03-18,NB,80402
2021-03-18,NL,118687
2021-03-18,NT,2476
2021-03-18,NS,114560
2021-03-18,NU,637
2021-03-18,ON,1394780
2021-03-18,PE,19702
2021-03-18,QC,689943
2021-03-18,SK,75646
2021-03-18,YT,1088
2021-03-18,NPTS,235793
2021-03-19,AB,87797
2021-03-19,BC,177207
2021-03-19,MB,123619
2021-03-19,NB,80420
2021-03-19,NL,118447
2021-03-19,NT,2475
2021-03-19,NS,114718
2021-03-19,NU,633
2021-03-19,ON,1397041
2021-03-19,PE,19761
2021-03-19,QC,689210
2021-03-19,SK,75674
2021-03-19,YT,1079
2021-03-19,NPTS,236292
2021-03-20,AB,87525
2021-03-20,BC,177070
2021-03-20,MB,123291
2021-03-20,NB,80119
2021-03-20,NL,117817
2021-03-20,NT,2474
2021-03-20,NS,114603
2021-03-20,NU,635
2021-03-20,ON,1394037
2021-03-20,PE,19717
2021-03-20,QC,686772
2021-03-20,SK,75630
2021-03-20,YT,1077
2021-03-20,NPTS,236544
2021-03-21,AB,87446
2021-03-21,BC,176829
2021-03-21,MB,123029
2021-03-21,NB,80133
2021-03-21,NL,117797
2021-03-21,NT,2477
2021-03-21,NS,114616
2021-03-21,NU,642
2021-03-21,ON,1393679
2021-03-21,PE,19767
2021-03-21,QC,685874
2021-03-21,SK,75596
2021-03-21,YT,1079
2021-03-21,NPTS,236765
2021-03-22,AB,87500
2021-03-22,BC,176857
2021-03-22,MB,123576
2021-03-22,NB,80426
2021-03-22,NL,117978
2021-03-22,NT,2480
2021-03-22,NS,115119
2021-03-22,NU,639
2021-03-22,ON,1400472
2021-03-22,PE,19811
2021-03-22,QC,688484
2021-03-22,SK,75786
2021-03-22,YT,1089
2021-03-22,NPTS,238404
2021-03-23,AB,87508
2021-03-23,BC,177021
2021-03-23,MB,123920
2021-03-23,NB,80741
2021-03-23,NL,118183
2021-03-23,NT,2494
2021-03-23,NS,115551
2021-03-23,NU,641
2021-03-23,ON,1404803
2021-03-23,PE,19851
2021-03-23,QC,689837
2021-03-23,SK,76018
2021-03-23,YT,1083
2021-03-23,NPTS,240990
2021-03-24,AB,87468
2021-03-24,BC,176971
2021-03-24,MB,123827
2021-03-24,NB,80874
2021-03-24,NL,118275
2021-03-24,NT,2491
2021-03-24,NS,115711
2021-03-24,NU,650
2021-03-24,ON,1407487
2021-03-24,PE,19864
2021-03-24,QC,691234
2021-03-24,SK,76331
2021-03-24,YT,1091
2021-03-24,NPTS,241048
2021-03-25,AB,87467
2021-03-25,BC,177064
2021-03-25,MB,124261
2021-03-25,NB,81298
2021-03-25,NL,118471
2021-03-25,NT,2507
2021-03-25,NS,116224
2021-03-25,NU,655
2021-03-25,ON,1412774
2021-03-25,PE,19940
2021-03-25,QC,693600
2021-03-25,SK,76740
2021-03-25,YT,1093
2021-03-25,NPTS,242291
2021-03-26,AB,87483
2021-03-26,BC,177111
2021-03-26,MB,124320
2021-03-26,NB,81375
2021-03-26,NL,118181
2021-03-26,NT,2505
2021-03-26,NS,116306
2021-03-26,NU,652
2021-03-26,ON,1413099
2021-03-26,PE,19946
2021-03-26,QC,692390
2021-03-26,SK,76879
2021-03-26,YT,1090
2021-03-26,NPTS,242826
