date,framework_status,notification_permission,count
2021-02-24,enabled,granted,<20
2021-02-24,enabled,blocked,<20
2021-02-24,enabled,granted,<20
2021-02-24,enabled,blocked,<20
2021-02-24,enabled,denied,<20
2021-02-24,disabled,granted,<20
2021-02-24,disabled,blocked,<20
2021-02-24,disabled,granted,<20
2021-02-24,disabled,blocked,<20
2021-02-24,disabled,denied,<20
2021-02-25,enabled,granted,2881
2021-02-25,enabled,blocked,55
2021-02-25,enabled,granted,2881
2021-02-25,enabled,blocked,55
2021-02-25,enabled,denied,<20
2021-02-25,disabled,granted,1366
2021-02-25,disabled,blocked,20
2021-02-25,disabled,granted,1366
2021-02-25,disabled,blocked,20
2021-02-25,disabled,denied,<20
2021-02-26,enabled,granted,3924
2021-02-26,enabled,blocked,97
2021-02-26,enabled,granted,3924
2021-02-26,enabled,blocked,97
2021-02-26,enabled,denied,<20
2021-02-26,disabled,granted,1557
2021-02-26,disabled,blocked,41
2021-02-26,disabled,granted,1557
2021-02-26,disabled,blocked,41
2021-02-26,disabled,denied,<20
2021-02-27,enabled,granted,4237
2021-02-27,enabled,blocked,100
2021-02-27,enabled,granted,4237
2021-02-27,enabled,blocked,100
2021-02-27,enabled,denied,<20
2021-02-27,disabled,granted,1793
2021-02-27,disabled,blocked,88
2021-02-27,disabled,granted,1793
2021-02-27,disabled,blocked,88
2021-02-27,disabled,denied,<20
2021-02-28,enabled,granted,4302
2021-02-28,enabled,blocked,92
2021-02-28,enabled,granted,4302
2021-02-28,enabled,blocked,92
2021-02-28,enabled,denied,<20
2021-02-28,disabled,granted,1466
2021-02-28,disabled,blocked,99
2021-02-28,disabled,granted,1466
2021-02-28,disabled,blocked,99
2021-02-28,disabled,denied,<20
2021-03-01,enabled,granted,4328
2021-03-01,enabled,blocked,102
2021-03-01,enabled,granted,4328
2021-03-01,enabled,blocked,102
2021-03-01,enabled,denied,<20
2021-03-01,disabled,granted,1203
2021-03-01,disabled,blocked,105
2021-03-01,disabled,granted,1203
2021-03-01,disabled,blocked,105
2021-03-01,disabled,denied,<20
2021-03-02,enabled,granted,3995
2021-03-02,enabled,blocked,78
2021-03-02,enabled,granted,3995
2021-03-02,enabled,blocked,78
2021-03-02,enabled,denied,<20
2021-03-02,disabled,granted,1018
2021-03-02,disabled,blocked,104
2021-03-02,disabled,granted,1018
2021-03-02,disabled,blocked,104
2021-03-02,disabled,denied,<20
2021-03-03,enabled,granted,3755
2021-03-03,enabled,blocked,86
2021-03-03,enabled,granted,3755
2021-03-03,enabled,blocked,86
2021-03-03,enabled,denied,<20
2021-03-03,disabled,granted,919
2021-03-03,disabled,blocked,85
2021-03-03,disabled,granted,919
2021-03-03,disabled,blocked,85
2021-03-03,disabled,denied,<20
2021-03-04,enabled,granted,3880
2021-03-04,enabled,blocked,82
2021-03-04,enabled,granted,3880
2021-03-04,enabled,blocked,82
2021-03-04,enabled,denied,<20
2021-03-04,disabled,granted,976
2021-03-04,disabled,blocked,99
2021-03-04,disabled,granted,976
2021-03-04,disabled,blocked,99
2021-03-04,disabled,denied,<20
2021-03-05,enabled,granted,4367
2021-03-05,enabled,blocked,99
2021-03-05,enabled,granted,4367
2021-03-05,enabled,blocked,99
2021-03-05,enabled,denied,<20
2021-03-05,disabled,granted,1003
2021-03-05,disabled,blocked,113
2021-03-05,disabled,granted,1003
2021-03-05,disabled,blocked,113
2021-03-05,disabled,denied,<20
2021-03-06,enabled,granted,3814
2021-03-06,enabled,blocked,109
2021-03-06,enabled,granted,3814
2021-03-06,enabled,blocked,109
2021-03-06,enabled,denied,<20
2021-03-06,disabled,granted,868
2021-03-06,disabled,blocked,75
2021-03-06,disabled,granted,868
2021-03-06,disabled,blocked,75
2021-03-06,disabled,denied,<20
2021-03-07,enabled,granted,3650
2021-03-07,enabled,blocked,89
2021-03-07,enabled,granted,3650
2021-03-07,enabled,blocked,89
2021-03-07,enabled,denied,<20
2021-03-07,disabled,granted,753
2021-03-07,disabled,blocked,89
2021-03-07,disabled,granted,753
2021-03-07,disabled,blocked,89
2021-03-07,disabled,denied,<20
2021-03-08,enabled,granted,3656
2021-03-08,enabled,blocked,84
2021-03-08,enabled,granted,3656
2021-03-08,enabled,blocked,84
2021-03-08,enabled,denied,<20
2021-03-08,disabled,granted,751
2021-03-08,disabled,blocked,76
2021-03-08,disabled,granted,751
2021-03-08,disabled,blocked,76
2021-03-08,disabled,denied,<20
2021-03-09,enabled,granted,3607
2021-03-09,enabled,blocked,71
2021-03-09,enabled,granted,3607
2021-03-09,enabled,blocked,71
2021-03-09,enabled,denied,<20
2021-03-09,disabled,granted,766
2021-03-09,disabled,blocked,87
2021-03-09,disabled,granted,766
2021-03-09,disabled,blocked,87
2021-03-09,disabled,denied,<20
2021-03-10,enabled,granted,3666
2021-03-10,enabled,blocked,83
2021-03-10,enabled,granted,3666
2021-03-10,enabled,blocked,83
2021-03-10,enabled,denied,<20
2021-03-10,disabled,granted,697
2021-03-10,disabled,blocked,90
2021-03-10,disabled,granted,697
2021-03-10,disabled,blocked,90
2021-03-10,disabled,denied,<20
2021-03-11,enabled,granted,3640
2021-03-11,enabled,blocked,94
2021-03-11,enabled,granted,3640
2021-03-11,enabled,blocked,94
2021-03-11,enabled,denied,<20
2021-03-11,disabled,granted,681
2021-03-11,disabled,blocked,82
2021-03-11,disabled,granted,681
2021-03-11,disabled,blocked,82
2021-03-11,disabled,denied,<20
2021-03-12,enabled,granted,3903
2021-03-12,enabled,blocked,89
2021-03-12,enabled,granted,3903
2021-03-12,enabled,blocked,89
2021-03-12,enabled,denied,<20
2021-03-12,disabled,granted,758
2021-03-12,disabled,blocked,84
2021-03-12,disabled,granted,758
2021-03-12,disabled,blocked,84
2021-03-12,disabled,denied,<20
2021-03-13,enabled,granted,3763
2021-03-13,enabled,blocked,72
2021-03-13,enabled,granted,3763
2021-03-13,enabled,blocked,72
2021-03-13,enabled,denied,<20
2021-03-13,disabled,granted,809
2021-03-13,disabled,blocked,78
2021-03-13,disabled,granted,809
2021-03-13,disabled,blocked,78
2021-03-13,disabled,denied,<20
2021-03-14,enabled,granted,3754
2021-03-14,enabled,blocked,66
2021-03-14,enabled,granted,3754
2021-03-14,enabled,blocked,66
2021-03-14,enabled,denied,<20
2021-03-14,disabled,granted,811
2021-03-14,disabled,blocked,80
2021-03-14,disabled,granted,811
2021-03-14,disabled,blocked,80
2021-03-14,disabled,denied,<20
2021-03-15,enabled,granted,3821
2021-03-15,enabled,blocked,60
2021-03-15,enabled,granted,3821
2021-03-15,enabled,blocked,60
2021-03-15,enabled,denied,<20
2021-03-15,disabled,granted,778
2021-03-15,disabled,blocked,67
2021-03-15,disabled,granted,778
2021-03-15,disabled,blocked,67
2021-03-15,disabled,denied,<20
2021-03-16,enabled,granted,3863
2021-03-16,enabled,blocked,90
2021-03-16,enabled,granted,3863
2021-03-16,enabled,blocked,90
2021-03-16,enabled,denied,<20
2021-03-16,disabled,granted,779
2021-03-16,disabled,blocked,99
2021-03-16,disabled,granted,779
2021-03-16,disabled,blocked,99
2021-03-16,disabled,denied,<20
2021-03-17,enabled,granted,4823
2021-03-17,enabled,blocked,124
2021-03-17,enabled,granted,4823
2021-03-17,enabled,blocked,124
2021-03-17,enabled,denied,<20
2021-03-17,disabled,granted,897
2021-03-17,disabled,blocked,98
2021-03-17,disabled,granted,897
2021-03-17,disabled,blocked,98
2021-03-17,disabled,denied,<20
2021-03-18,enabled,granted,4515
2021-03-18,enabled,blocked,89
2021-03-18,enabled,granted,4515
2021-03-18,enabled,blocked,89
2021-03-18,enabled,denied,<20
2021-03-18,disabled,granted,900
2021-03-18,disabled,blocked,106
2021-03-18,disabled,granted,900
2021-03-18,disabled,blocked,106
