date,number_of_checks-no_verification,os-se,app_version-version_appli,count-nombre
2021-02-27,1-6,android,1.4.6,<20
2021-02-27,1-6,ios,1.2.0,459
2021-02-27,1-6,ios,1.2.1,130
2021-02-27,1-6,ios,1.2.2,95
2021-02-27,1-6,ios,1.2.3,84
2021-02-27,1-6,ios,1.2.4,43
2021-02-27,1-6,ios,1.2.6,<20
2021-02-27,1-6,ios,1.2.7,32
2021-02-27,1-6,ios,1.2.8,38
2021-02-27,1-6,ios,1.2.9,<20
2021-02-27,1-6,ios,1.4.0,<20
2021-02-27,1-6,ios,1.4.1,<20
2021-02-27,1-6,ios,1.4.4,<20
2021-02-27,1-6,ios,1.4.5,<20
2021-02-27,1-6,ios,1.4.6,<20
2021-02-27,13-30,android,1.2.0,<20
2021-02-27,13-30,android,1.2.1,<20
2021-02-27,13-30,android,1.2.2,<20
2021-02-27,13-30,android,1.2.3,<20
2021-02-27,13-30,android,1.2.6,<20
2021-02-27,13-30,android,1.2.9,<20
2021-02-27,13-30,android,1.4.3,<20
2021-02-27,13-30,ios,1.2.0,<20
2021-02-27,7-12,android,1.2.0,66
2021-02-27,7-12,android,1.2.1,125
2021-02-27,7-12,android,1.2.2,139
2021-02-27,7-12,android,1.2.3,51
2021-02-27,7-12,android,1.2.4,<20
2021-02-27,7-12,android,1.2.5,<20
2021-02-27,7-12,android,1.2.6,<20
2021-02-27,7-12,android,1.2.7,<20
2021-02-27,7-12,android,1.2.8,<20
2021-02-27,7-12,android,1.2.9,<20
2021-02-27,7-12,android,1.4.2,<20
2021-02-27,7-12,android,1.4.3,<20
2021-02-27,7-12,ios,1.2.0,119
2021-02-27,7-12,ios,1.2.1,34
2021-02-27,7-12,ios,1.2.2,36
2021-02-27,7-12,ios,1.2.3,30
2021-02-27,7-12,ios,1.2.4,<20
2021-02-27,7-12,ios,1.2.6,<20
2021-02-27,7-12,ios,1.2.7,<20
2021-02-27,7-12,ios,1.2.8,<20
2021-02-27,7-12,ios,1.2.9,<20
2021-02-27,7-12,ios,1.4.0,<20
2021-02-27,7-12,ios,1.4.1,<20
2021-02-27,7-12,ios,1.4.4,<20
2021-02-27,7-12,ios,1.4.5,<20
2021-02-27,7-12,ios,1.4.6,<20
2021-02-28,1-6,android,1.2.0,460
2021-02-28,1-6,android,1.2.1,1263
2021-02-28,1-6,android,1.2.2,1294
2021-02-28,1-6,android,1.2.3,445
2021-02-28,1-6,android,1.2.4,127
2021-02-28,1-6,android,1.2.5,<20
2021-02-28,1-6,android,1.2.6,31
2021-02-28,1-6,android,1.2.7,53
2021-02-28,1-6,android,1.2.8,47
2021-02-28,1-6,android,1.2.9,50
2021-02-28,1-6,android,1.4.2,<20
2021-02-28,1-6,android,1.4.3,<20
2021-02-28,1-6,android,1.4.4,<20
2021-02-28,1-6,android,1.4.5,<20
2021-02-28,1-6,android,1.4.6,<20
2021-02-28,1-6,ios,1.2.0,474
2021-02-28,1-6,ios,1.2.1,288
2021-02-28,1-6,ios,1.2.2,107
2021-02-28,1-6,ios,1.2.3,58
2021-02-28,1-6,ios,1.2.4,29
2021-02-28,1-6,ios,1.2.6,<20
2021-02-28,1-6,ios,1.2.7,20
2021-02-28,1-6,ios,1.2.8,<20
2021-02-28,1-6,ios,1.2.9,<20
2021-02-28,1-6,ios,1.4.0,<20
2021-02-28,1-6,ios,1.4.1,<20
2021-02-28,1-6,ios,1.4.4,<20
2021-02-28,1-6,ios,1.4.5,<20
2021-02-28,1-6,ios,1.4.6,<20
2021-02-28,13-30,android,1.2.0,<20
2021-02-28,13-30,android,1.2.1,<20
2021-02-28,13-30,android,1.2.2,<20
2021-02-28,13-30,android,1.2.3,<20
2021-02-28,13-30,android,1.2.9,<20
2021-02-28,30+,android,1.2.0,<20
2021-02-28,7-12,android,1.2.0,34
2021-02-28,7-12,android,1.2.1,74
2021-02-28,7-12,android,1.2.2,65
2021-02-28,7-12,android,1.2.3,38
2021-02-28,7-12,android,1.2.4,<20
2021-02-28,7-12,android,1.2.5,<20
2021-02-28,7-12,android,1.2.6,<20
2021-02-28,7-12,android,1.2.7,<20
2021-02-28,7-12,android,1.2.8,<20
2021-02-28,7-12,android,1.2.9,<20
2021-02-28,7-12,android,1.4.3,<20
2021-02-28,7-12,ios,1.2.0,137
2021-02-28,7-12,ios,1.2.1,59
2021-02-28,7-12,ios,1.2.2,21
2021-02-28,7-12,ios,1.2.3,<20
2021-02-28,7-12,ios,1.2.4,<20
