date,region,appos,count
2021-04-05,NL,android,<20
2021-04-05,NL,ios,<20
2021-04-05,NT,android,<20
2021-04-05,NT,ios,<20
2021-04-05,NS,android,<20
2021-04-05,NS,ios,<20
2021-04-05,NU,android,<20
2021-04-05,NU,ios,<20
2021-04-05,ON,android,<20
2021-04-05,ON,ios,<20
2021-04-05,PE,android,<20
2021-04-05,PE,ios,<20
2021-04-05,QC,android,<20
2021-04-05,QC,ios,<20
2021-04-05,SK,android,<20
2021-04-05,SK,ios,<20
2021-04-05,YT,android,<20
2021-04-05,YT,ios,<20
2021-04-05,NPTS,android,<20
2021-04-05,NPTS,ios,<20
2021-04-06,AB,android,<20
2021-04-06,AB,ios,<20
2021-04-06,BC,android,<20
2021-04-06,BC,ios,<20
2021-04-06,MB,android,<20
2021-04-06,MB,ios,<20
2021-04-06,NB,android,<20
2021-04-06,NB,ios,<20
2021-04-06,NL,android,<20
2021-04-06,NL,ios,<20
2021-04-06,NT,android,<20
2021-04-06,NT,ios,<20
2021-04-06,NS,android,<20
2021-04-06,NS,ios,<20
2021-04-06,NU,android,<20
2021-04-06,NU,ios,<20
2021-04-06,ON,android,<20
2021-04-06,ON,ios,<20
2021-04-06,PE,android,<20
2021-04-06,PE,ios,<20
2021-04-06,QC,android,<20
2021-04-06,QC,ios,<20
2021-04-06,SK,android,<20
2021-04-06,SK,ios,<20
2021-04-06,YT,android,<20
2021-04-06,YT,ios,<20
2021-04-06,NPTS,android,<20
2021-04-06,NPTS,ios,<20
2021-04-07,AB,android,<20
2021-04-07,AB,ios,<20
2021-04-07,BC,android,<20
2021-04-07,BC,ios,<20
2021-04-07,MB,android,<20
2021-04-07,MB,ios,<20
2021-04-07,NB,android,<20
2021-04-07,NB,ios,<20
2021-04-07,NL,android,<20
2021-04-07,NL,ios,<20
2021-04-07,NT,android,<20
2021-04-07,NT,ios,<20
2021-04-07,NS,android,<20
2021-04-07,NS,ios,<20
2021-04-07,NU,android,<20
2021-04-07,NU,ios,<20
2021-04-07,ON,android,46
2021-04-07,ON,ios,36
2021-04-07,PE,android,<20
2021-04-07,PE,ios,<20
2021-04-07,QC,android,<20
2021-04-07,QC,ios,<20
2021-04-07,SK,android,<20
2021-04-07,SK,ios,<20
2021-04-07,YT,android,<20
2021-04-07,YT,ios,<20
2021-04-07,NPTS,android,<20
2021-04-07,NPTS,ios,<20
2021-04-08,AB,android,<20
2021-04-08,AB,ios,<20
2021-04-08,BC,android,<20
2021-04-08,BC,ios,<20
2021-04-08,MB,android,<20
2021-04-08,MB,ios,<20
2021-04-08,NB,android,<20
2021-04-08,NB,ios,<20
2021-04-08,NL,android,<20
2021-04-08,NL,ios,<20
2021-04-08,NT,android,<20
2021-04-08,NT,ios,<20
2021-04-08,NS,android,<20
2021-04-08,NS,ios,<20
2021-04-08,NU,android,<20
2021-04-08,NU,ios,<20
2021-04-08,ON,android,102
2021-04-08,ON,ios,198
2021-04-08,PE,android,<20
2021-04-08,PE,ios,<20
2021-04-08,QC,android,20
2021-04-08,QC,ios,<20
2021-04-08,SK,android,<20
2021-04-08,SK,ios,<20
2021-04-08,YT,android,<20
2021-04-08,YT,ios,<20
2021-04-08,NPTS,android,<20
2021-04-08,NPTS,ios,<20
2021-04-09,AB,android,<20
2021-04-09,AB,ios,<20
2021-04-09,BC,android,<20
2021-04-09,BC,ios,<20
2021-04-09,MB,android,<20
2021-04-09,MB,ios,<20
2021-04-09,NB,android,<20
2021-04-09,NB,ios,<20
2021-04-09,NL,android,<20
2021-04-09,NL,ios,<20
2021-04-09,NT,android,<20
2021-04-09,NT,ios,<20
2021-04-09,NS,android,<20
2021-04-09,NS,ios,<20
2021-04-09,NU,android,<20
2021-04-09,NU,ios,<20
2021-04-09,ON,android,69
2021-04-09,ON,ios,143
2021-04-09,PE,android,<20
2021-04-09,PE,ios,<20
2021-04-09,QC,android,<20
2021-04-09,QC,ios,<20
2021-04-09,SK,android,<20
2021-04-09,SK,ios,<20
2021-04-09,YT,android,<20
2021-04-09,YT,ios,<20
2021-04-09,NPTS,android,<20
2021-04-09,NPTS,ios,<20
2021-04-10,AB,android,<20
2021-04-10,AB,ios,<20
2021-04-10,BC,android,<20
2021-04-10,BC,ios,<20
2021-04-10,MB,android,<20
2021-04-10,MB,ios,<20
2021-04-10,NB,android,<20
2021-04-10,NB,ios,<20
2021-04-10,NL,android,<20
2021-04-10,NL,ios,<20
2021-04-10,NT,android,<20
2021-04-10,NT,ios,<20
2021-04-10,NS,android,<20
2021-04-10,NS,ios,<20
2021-04-10,NU,android,<20
2021-04-10,NU,ios,<20
2021-04-10,ON,android,61
2021-04-10,ON,ios,164
2021-04-10,PE,android,<20
2021-04-10,PE,ios,<20
2021-04-10,QC,android,<20
2021-04-10,QC,ios,<20
2021-04-10,SK,android,<20
2021-04-10,SK,ios,<20
