date,region,exposure_status,count
2021-03-02,NS,exposed,<20
2021-03-02,NS,monitoring,<20
2021-03-02,NU,exposed,<20
2021-03-02,NU,monitoring,<20
2021-03-02,ON,exposed,<20
2021-03-02,ON,monitoring,<20
2021-03-02,PE,exposed,<20
2021-03-02,PE,monitoring,<20
2021-03-02,QC,exposed,<20
2021-03-02,QC,monitoring,<20
2021-03-02,SK,exposed,<20
2021-03-02,SK,monitoring,<20
2021-03-02,YT,exposed,<20
2021-03-02,YT,monitoring,<20
2021-03-02,NPTS,exposed,<20
2021-03-02,NPTS,monitoring,<20
2021-03-03,AB,exposed,<20
2021-03-03,AB,monitoring,<20
2021-03-03,BC,exposed,<20
2021-03-03,BC,monitoring,<20
2021-03-03,MB,exposed,<20
2021-03-03,MB,monitoring,<20
2021-03-03,NB,exposed,<20
2021-03-03,NB,monitoring,<20
2021-03-03,NL,exposed,<20
2021-03-03,NL,monitoring,<20
2021-03-03,NT,exposed,<20
2021-03-03,NT,monitoring,<20
2021-03-03,NS,exposed,<20
2021-03-03,NS,monitoring,<20
2021-03-03,NU,exposed,<20
2021-03-03,NU,monitoring,<20
2021-03-03,ON,exposed,<20
2021-03-03,ON,monitoring,<20
2021-03-03,PE,exposed,<20
2021-03-03,PE,monitoring,<20
2021-03-03,QC,exposed,<20
2021-03-03,QC,monitoring,<20
2021-03-03,SK,exposed,<20
2021-03-03,SK,monitoring,<20
2021-03-03,YT,exposed,<20
2021-03-03,YT,monitoring,<20
2021-03-03,NPTS,exposed,<20
2021-03-03,NPTS,monitoring,<20
2021-03-04,AB,exposed,<20
2021-03-04,AB,monitoring,<20
2021-03-04,BC,exposed,<20
2021-03-04,BC,monitoring,<20
2021-03-04,MB,exposed,<20
2021-03-04,MB,monitoring,<20
2021-03-04,NB,exposed,<20
2021-03-04,NB,monitoring,<20
2021-03-04,NL,exposed,<20
2021-03-04,NL,monitoring,<20
2021-03-04,NT,exposed,<20
2021-03-04,NT,monitoring,<20
2021-03-04,NS,exposed,<20
2021-03-04,NS,monitoring,<20
2021-03-04,NU,exposed,<20
2021-03-04,NU,monitoring,<20
2021-03-04,ON,exposed,<20
2021-03-04,ON,monitoring,<20
2021-03-04,PE,exposed,<20
2021-03-04,PE,monitoring,<20
2021-03-04,QC,exposed,<20
2021-03-04,QC,monitoring,<20
2021-03-04,SK,exposed,<20
2021-03-04,SK,monitoring,<20
2021-03-04,YT,exposed,<20
2021-03-04,YT,monitoring,<20
2021-03-04,NPTS,exposed,<20
2021-03-04,NPTS,monitoring,<20
2021-03-05,AB,exposed,<20
2021-03-05,AB,monitoring,<20
2021-03-05,BC,exposed,<20
2021-03-05,BC,monitoring,<20
2021-03-05,MB,exposed,<20
2021-03-05,MB,monitoring,<20
2021-03-05,NB,exposed,<20
2021-03-05,NB,monitoring,<20
2021-03-05,NL,exposed,<20
2021-03-05,NL,monitoring,<20
2021-03-05,NT,exposed,<20
2021-03-05,NT,monitoring,<20
2021-03-05,NS,exposed,<20
2021-03-05,NS,monitoring,<20
2021-03-05,NU,exposed,<20
2021-03-05,NU,monitoring,<20
2021-03-05,ON,exposed,<20
2021-03-05,ON,monitoring,<20
2021-03-05,PE,exposed,<20
2021-03-05,PE,monitoring,<20
2021-03-05,QC,exposed,<20
2021-03-05,QC,monitoring,<20
2021-03-05,SK,exposed,<20
2021-03-05,SK,monitoring,<20
2021-03-05,YT,exposed,<20
2021-03-05,YT,monitoring,<20
2021-03-05,NPTS,exposed,<20
2021-03-05,NPTS,monitoring,<20
2021-03-06,AB,exposed,<20
2021-03-06,AB,monitoring,<20
2021-03-06,BC,exposed,<20
2021-03-06,BC,monitoring,<20
2021-03-06,MB,exposed,<20
2021-03-06,MB,monitoring,<20
2021-03-06,NB,exposed,<20
2021-03-06,NB,monitoring,<20
2021-03-06,NL,exposed,<20
2021-03-06,NL,monitoring,<20
2021-03-06,NT,exposed,<20
2021-03-06,NT,monitoring,<20
2021-03-06,NS,exposed,<20
2021-03-06,NS,monitoring,<20
2021-03-06,NU,exposed,<20
2021-03-06,NU,monitoring,<20
2021-03-06,ON,exposed,<20
2021-03-06,ON,monitoring,<20
2021-03-06,PE,exposed,<20
2021-03-06,PE,monitoring,<20
2021-03-06,QC,exposed,<20
2021-03-06,QC,monitoring,<20
2021-03-06,SK,exposed,<20
2021-03-06,SK,monitoring,<20
2021-03-06,YT,exposed,<20
2021-03-06,YT,monitoring,<20
2021-03-06,NPTS,exposed,<20
2021-03-06,NPTS,monitoring,<20
2021-03-07,AB,exposed,<20
2021-03-07,AB,monitoring,<20
2021-03-07,BC,exposed,<20
2021-03-07,BC,monitoring,<20
2021-03-07,MB,exposed,<20
2021-03-07,MB,monitoring,<20
2021-03-07,NB,exposed,<20
2021-03-07,NB,monitoring,<20
2021-03-07,NL,exposed,<20
2021-03-07,NL,monitoring,<20
2021-03-07,NT,exposed,<20
2021-03-07,NT,monitoring,<20
2021-03-07,NS,exposed,<20
2021-03-07,NS,monitoring,<20
2021-03-07,NU,exposed,<20
2021-03-07,NU,monitoring,<20
2021-03-07,ON,exposed,<20
2021-03-07,ON,monitoring,<20
2021-03-07,PE,exposed,<20
2021-03-07,PE,monitoring,<20
2021-03-07,QC,exposed,<20
2021-03-07,QC,monitoring,<20
2021-03-07,SK,exposed,<20
2021-03-07,SK,monitoring,<20
2021-03-07,YT,exposed,<20
2021-03-07,YT,monitoring,<20
2021-03-07,NPTS,exposed,<20
2021-03-07,NPTS,monitoring,<20
2021-03-08,AB,exposed,<20
2021-03-08,AB,monitoring,<20
2021-03-08,BC,exposed,<20
2021-03-08,BC,monitoring,<20
2021-03-08,MB,exposed,<20
2021-03-08,MB,monitoring,<20
2021-03-08,NB,exposed,<20
2021-03-08,NB,monitoring,<20
2021-03-08,NL,exposed,<20
2021-03-08,NL,monitoring,<20
2021-03-08,NT,exposed,<20
2021-03-08,NT,monitoring,<20
2021-03-08,NS,exposed,<20
2021-03-08,NS,monitoring,<20
2021-03-08,NU,exposed,<20
2021-03-08,NU,monitoring,<20
2021-03-08,ON,exposed,<20
2021-03-08,ON,monitoring,<20
2021-03-08,PE,exposed,<20
2021-03-08,PE,monitoring,<20
2021-03-08,QC,exposed,<20
2021-03-08,QC,monitoring,<20
2021-03-08,SK,exposed,<20
2021-03-08,SK,monitoring,<20
2021-03-08,YT,exposed,<20
2021-03-08,YT,monitoring,<20
2021-03-08,NPTS,exposed,<20
2021-03-08,NPTS,monitoring,<20
2021-03-09,AB,exposed,<20
2021-03-09,AB,monitoring,<20
2021-03-09,BC,exposed,<20
2021-03-09,BC,monitoring,<20
2021-03-09,MB,exposed,<20
