date,region,date_provided-date_fournie,count-nombre
2021-04-02,MB,no_date-date_so,<20
2021-04-02,NB,date,<20
2021-04-02,NB,no_date-date_so,<20
2021-04-02,NL,date,<20
2021-04-02,NL,no_date-date_so,<20
2021-04-02,NT,date,<20
2021-04-02,NT,no_date-date_so,<20
2021-04-02,NS,date,<20
2021-04-02,NS,no_date-date_so,<20
2021-04-02,NU,date,<20
2021-04-02,NU,no_date-date_so,<20
2021-04-02,ON,date,<20
2021-04-02,ON,no_date-date_so,<20
2021-04-02,PE,date,<20
2021-04-02,PE,no_date-date_so,<20
2021-04-02,QC,date,<20
2021-04-02,QC,no_date-date_so,<20
2021-04-02,SK,date,<20
2021-04-02,SK,no_date-date_so,<20
2021-04-02,YT,date,<20
2021-04-02,YT,no_date-date_so,<20
2021-04-02,npts-ptso,date,<20
2021-04-02,npts-ptso,no_date-date_so,<20
2021-04-03,AB,date,<20
2021-04-03,AB,no_date-date_so,<20
2021-04-03,BC,date,<20
2021-04-03,BC,no_date-date_so,<20
2021-04-03,MB,date,<20
2021-04-03,MB,no_date-date_so,<20
2021-04-03,NB,date,<20
2021-04-03,NB,no_date-date_so,<20
2021-04-03,NL,date,<20
2021-04-03,NL,no_date-date_so,<20
2021-04-03,NT,date,<20
2021-04-03,NT,no_date-date_so,<20
2021-04-03,NS,date,<20
2021-04-03,NS,no_date-date_so,<20
2021-04-03,NU,date,<20
2021-04-03,NU,no_date-date_so,<20
2021-04-03,ON,date,<20
2021-04-03,ON,no_date-date_so,<20
2021-04-03,PE,date,<20
2021-04-03,PE,no_date-date_so,<20
2021-04-03,QC,date,<20
2021-04-03,QC,no_date-date_so,<20
2021-04-03,SK,date,<20
2021-04-03,SK,no_date-date_so,<20
2021-04-03,YT,date,<20
2021-04-03,YT,no_date-date_so,<20
2021-04-03,npts-ptso,date,<20
2021-04-03,npts-ptso,no_date-date_so,<20
2021-04-04,AB,date,<20
2021-04-04,AB,no_date-date_so,<20
2021-04-04,BC,date,<20
2021-04-04,BC,no_date-date_so,<20
2021-04-04,MB,date,<20
2021-04-04,MB,no_date-date_so,<20
2021-04-04,NB,date,<20
2021-04-04,NB,no_date-date_so,<20
2021-04-04,NL,date,<20
2021-04-04,NL,no_date-date_so,<20
2021-04-04,NT,date,<20
2021-04-04,NT,no_date-date_so,<20
2021-04-04,NS,date,<20
2021-04-04,NS,no_date-date_so,<20
2021-04-04,NU,date,<20
2021-04-04,NU,no_date-date_so,<20
2021-04-04,ON,date,<20
2021-04-04,ON,no_date-date_so,<20
2021-04-04,PE,date,<20
2021-04-04,PE,no_date-date_so,<20
2021-04-04,QC,date,<20
2021-04-04,QC,no_date-date_so,<20
2021-04-04,SK,date,<20
2021-04-04,SK,no_date-date_so,<20
2021-04-04,YT,date,<20
2021-04-04,YT,no_date-date_so,<20
2021-04-04,npts-ptso,date,<20
2021-04-04,npts-ptso,no_date-date_so,<20
2021-04-05,AB,date,<20
2021-04-05,AB,no_date-date_so,<20
2021-04-05,BC,date,<20
2021-04-05,BC,no_date-date_so,<20
2021-04-05,MB,date,<20
2021-04-05,MB,no_date-date_so,<20
2021-04-05,NB,date,<20
2021-04-05,NB,no_date-date_so,<20
2021-04-05,NL,date,<20
2021-04-05,NL,no_date-date_so,<20
2021-04-05,NT,date,<20
2021-04-05,NT,no_date-date_so,<20
2021-04-05,NS,date,<20
2021-04-05,NS,no_date-date_so,<20
2021-04-05,NU,date,<20
2021-04-05,NU,no_date-date_so,<20
2021-04-05,ON,date,<20
2021-04-05,ON,no_date-date_so,<20
2021-04-05,PE,date,<20
2021-04-05,PE,no_date-date_so,<20
2021-04-05,QC,date,<20
2021-04-05,QC,no_date-date_so,<20
2021-04-05,SK,date,<20
2021-04-05,SK,no_date-date_so,<20
2021-04-05,YT,date,<20
2021-04-05,YT,no_date-date_so,<20
2021-04-05,npts-ptso,date,<20
2021-04-05,npts-ptso,no_date-date_so,<20
2021-04-06,AB,date,<20
2021-04-06,AB,no_date-date_so,<20
2021-04-06,BC,date,<20
2021-04-06,BC,no_date-date_so,<20
2021-04-06,MB,date,<20
2021-04-06,MB,no_date-date_so,<20
2021-04-06,NB,date,<20
2021-04-06,NB,no_date-date_so,<20
2021-04-06,NL,date,<20
2021-04-06,NL,no_date-date_so,<20
2021-04-06,NT,date,<20
2021-04-06,NT,no_date-date_so,<20
2021-04-06,NS,date,<20
2021-04-06,NS,no_date-date_so,<20
2021-04-06,NU,date,<20
2021-04-06,NU,no_date-date_so,<20
2021-04-06,ON,date,<20
2021-04-06,ON,no_date-date_so,<20
2021-04-06,PE,date,<20
