date,region,date_provided-date_fournie,count-nombre
2021-09-30,NB,no_date-date_so,<20
2021-09-30,NL,date,<20
2021-09-30,NL,no_date-date_so,<20
2021-09-30,NT,date,<20
2021-09-30,NT,no_date-date_so,<20
2021-09-30,NS,date,<20
2021-09-30,NS,no_date-date_so,<20
2021-09-30,NU,date,<20
2021-09-30,NU,no_date-date_so,<20
2021-09-30,ON,date,418
2021-09-30,ON,no_date-date_so,24
2021-09-30,PE,date,<20
2021-09-30,PE,no_date-date_so,<20
2021-09-30,QC,date,48
2021-09-30,QC,no_date-date_so,<20
2021-09-30,SK,date,123
2021-09-30,SK,no_date-date_so,<20
2021-09-30,YT,date,<20
2021-09-30,YT,no_date-date_so,<20
2021-09-30,npts-ptso,date,25
2021-09-30,npts-ptso,no_date-date_so,<20
2021-10-31,AB,date,<20
2021-10-31,AB,no_date-date_so,<20
2021-10-31,BC,date,<20
2021-10-31,BC,no_date-date_so,<20
2021-10-31,MB,date,37
2021-10-31,MB,no_date-date_so,<20
2021-10-31,NB,date,<20
2021-10-31,NB,no_date-date_so,<20
2021-10-31,NL,date,<20
2021-10-31,NL,no_date-date_so,<20
2021-10-31,NT,date,<20
2021-10-31,NT,no_date-date_so,<20
2021-10-31,NS,date,<20
2021-10-31,NS,no_date-date_so,<20
2021-10-31,NU,date,<20
2021-10-31,NU,no_date-date_so,<20
2021-10-31,ON,date,332
2021-10-31,ON,no_date-date_so,<20
2021-10-31,PE,date,<20
2021-10-31,PE,no_date-date_so,<20
2021-10-31,QC,date,58
2021-10-31,QC,no_date-date_so,<20
2021-10-31,SK,date,124
2021-10-31,SK,no_date-date_so,<20
2021-10-31,YT,date,<20
2021-10-31,YT,no_date-date_so,<20
2021-10-31,npts-ptso,date,20
2021-10-31,npts-ptso,no_date-date_so,<20
2021-11-30,AB,date,<20
2021-11-30,AB,no_date-date_so,<20
2021-11-30,BC,date,<20
2021-11-30,BC,no_date-date_so,<20
2021-11-30,MB,date,38
2021-11-30,MB,no_date-date_so,<20
2021-11-30,NB,date,<20
2021-11-30,NB,no_date-date_so,<20
2021-11-30,NL,date,<20
2021-11-30,NL,no_date-date_so,<20
2021-11-30,NT,date,<20
2021-11-30,NT,no_date-date_so,<20
2021-11-30,NS,date,<20
2021-11-30,NS,no_date-date_so,<20
2021-11-30,NU,date,<20
2021-11-30,NU,no_date-date_so,<20
2021-11-30,ON,date,579
2021-11-30,ON,no_date-date_so,21
2021-11-30,PE,date,<20
2021-11-30,PE,no_date-date_so,<20
2021-11-30,QC,date,70
2021-11-30,QC,no_date-date_so,<20
2021-11-30,SK,date,58
2021-11-30,SK,no_date-date_so,<20
2021-11-30,YT,date,<20
2021-11-30,YT,no_date-date_so,<20
2021-11-30,npts-ptso,date,29
2021-11-30,npts-ptso,no_date-date_so,<20
2021-12-31,AB,date,<20
2021-12-31,AB,no_date-date_so,<20
2021-12-31,BC,date,<20
2021-12-31,BC,no_date-date_so,<20
2021-12-31,MB,date,94
2021-12-31,MB,no_date-date_so,<20
2021-12-31,NB,date,27
2021-12-31,NB,no_date-date_so,<20
2021-12-31,NL,date,158
2021-12-31,NL,no_date-date_so,<20
2021-12-31,NT,date,<20
2021-12-31,NT,no_date-date_so,<20
2021-12-31,NS,date,20
2021-12-31,NS,no_date-date_so,<20
2021-12-31,NU,date,<20
2021-12-31,NU,no_date-date_so,<20
2021-12-31,ON,date,9328
2021-12-31,ON,no_date-date_so,286
2021-12-31,PE,date,<20
2021-12-31,PE,no_date-date_so,<20
2021-12-31,QC,date,982
2021-12-31,QC,no_date-date_so,<20
2021-12-31,SK,date,98
2021-12-31,SK,no_date-date_so,<20
2021-12-31,YT,date,<20
2021-12-31,YT,no_date-date_so,<20
2021-12-31,npts-ptso,date,542
2021-12-31,npts-ptso,no_date-date_so,32
2022-01-31,AB,date,<20
2022-01-31,AB,no_date-date_so,<20
2022-01-31,BC,date,<20
2022-01-31,BC,no_date-date_so,<20
2022-01-31,MB,date,389
2022-01-31,MB,no_date-date_so,40
2022-01-31,NB,date,<20
2022-01-31,NB,no_date-date_so,<20
2022-01-31,NL,date,68
2022-01-31,NL,no_date-date_so,<20
2022-01-31,NT,date,<20
2022-01-31,NT,no_date-date_so,<20
2022-01-31,NS,date,<20
2022-01-31,NS,no_date-date_so,<20
2022-01-31,NU,date,<20
2022-01-31,NU,no_date-date_so,<20
2022-01-31,ON,date,6052
2022-01-31,ON,no_date-date_so,293
2022-01-31,PE,date,<20
2022-01-31,PE,no_date-date_so,<20
2022-01-31,QC,date,542
2022-01-31,QC,no_date-date_so,<20
2022-01-31,SK,date,79
2022-01-31,SK,no_date-date_so,<20
2022-01-31,YT,date,<20
2022-01-31,YT,no_date-date_so,<20
2022-01-31,npts-ptso,date,326
2022-01-31,npts-ptso,no_date-date_so,<20
2022-02-28,AB,date,<20
2022-02-28,AB,no_date-date_so,<20
2022-02-28,BC,date,<20
2022-02-28,BC,no_date-date_so,<20
2022-02-28,MB,date,114
2022-02-28,MB,no_date-date_so,<20
2022-02-28,NB,date,<20
2022-02-28,NB,no_date-date_so,<20
2022-02-28,NL,date,<20
2022-02-28,NL,no_date-date_so,<20
2022-02-28,NT,date,<20
2022-02-28,NT,no_date-date_so,<20
2022-02-28,NS,date,<20
2022-02-28,NS,no_date-date_so,<20
2022-02-28,NU,date,<20
2022-02-28,NU,no_date-date_so,<20
2022-02-28,ON,date,1044
2022-02-28,ON,no_date-date_so,36
2022-02-28,PE,date,<20
2022-02-28,PE,no_date-date_so,<20
2022-02-28,QC,date,27
2022-02-28,QC,no_date-date_so,<20
2022-02-28,SK,date,<20
2022-02-28,SK,no_date-date_so,<20
2022-02-28,YT,date,<20
2022-02-28,YT,no_date-date_so,<20
2022-02-28,npts-ptso,date,61
2022-02-28,npts-ptso,no_date-date_so,<20
2022-03-31,AB,date,<20
2022-03-31,AB,no_date-date_so,<20
2022-03-31,BC,date,<20
2022-03-31,BC,no_date-date_so,<20
2022-03-31,MB,date,36
2022-03-31,MB,no_date-date_so,<20
2022-03-31,NB,date,<20
2022-03-31,NB,no_date-date_so,<20
2022-03-31,NL,date,<20
2022-03-31,NL,no_date-date_so,<20
2022-03-31,NT,date,<20
2022-03-31,NT,no_date-date_so,<20
2022-03-31,NS,date,<20
2022-03-31,NS,no_date-date_so,<20
2022-03-31,NU,date,<20
2022-03-31,NU,no_date-date_so,<20
2022-03-31,ON,date,1383
2022-03-31,ON,no_date-date_so,47
2022-03-31,PE,date,<20
2022-03-31,PE,no_date-date_so,<20
2022-03-31,QC,date,30
2022-03-31,QC,no_date-date_so,<20
2022-03-31,SK,date,<20
2022-03-31,SK,no_date-date_so,<20
2022-03-31,YT,date,<20
2022-03-31,YT,no_date-date_so,<20
2022-03-31,npts-ptso,date,65
2022-03-31,npts-ptso,no_date-date_so,<20
2022-04-30,AB,date,<20
2022-04-30,AB,no_date-date_so,<20
2022-04-30,BC,date,<20
2022-04-30,BC,no_date-date_so,<20
2022-04-30,MB,date,<20
2022-04-30,MB,no_date-date_so,<20
2022-04-30,NB,date,<20
2022-04-30,NB,no_date-date_so,<20
2022-04-30,NL,date,<20
2022-04-30,NL,no_date-date_so,<20
2022-04-30,NT,date,<20
2022-04-30,NT,no_date-date_so,<20
2022-04-30,NS,date,<20
2022-04-30,NS,no_date-date_so,<20
