date,region,date_provided,count
2021-02-28,AB,date,<20
2021-02-28,AB,no_date,<20
2021-02-28,BC,date,<20
2021-02-28,BC,no_date,<20
2021-02-28,MB,date,<20
2021-02-28,MB,no_date,<20
2021-02-28,NB,date,<20
2021-02-28,NB,no_date,<20
2021-02-28,NL,date,<20
2021-02-28,NL,no_date,<20
2021-02-28,NT,date,<20
2021-02-28,NT,no_date,<20
2021-02-28,NS,date,<20
2021-02-28,NS,no_date,<20
2021-02-28,NU,date,<20
2021-02-28,NU,no_date,<20
2021-02-28,ON,date,<20
2021-02-28,ON,no_date,<20
2021-02-28,PE,date,<20
2021-02-28,PE,no_date,<20
2021-02-28,QC,date,<20
2021-02-28,QC,no_date,<20
2021-02-28,SK,date,<20
2021-02-28,SK,no_date,<20
2021-02-28,YT,date,<20
2021-02-28,YT,no_date,<20
2021-02-28,NPTS,date,<20
2021-02-28,NPTS,no_date,<20
