date,number_of_checks,count
2021-02-28,1-6,21459
2021-02-28,7-12,2238
2021-02-28,13-30,77
2021-02-28,30+,<20
2021-03-07,1-6,7414081
2021-03-07,7-12,2454995
2021-03-07,13-30,544
2021-03-07,30+,<20
2021-03-14,1-6,15226810
2021-03-14,7-12,5356258
2021-03-14,13-30,855
2021-03-14,30+,27
2021-03-21,1-6,14873278
2021-03-21,7-12,5714274
2021-03-21,13-30,648
2021-03-21,30+,<20
