date,os-se,app_version-version_appli,count-nombre
2021-04-18,ios,1.2.4,333
2021-04-18,ios,1.2.6,3803
2021-04-18,ios,1.2.7,18834
2021-04-18,ios,1.2.8,<20
2021-04-18,ios,1.5.3,<20
2021-04-25,android,1.2.0,38
2021-04-25,android,1.2.1,<20
2021-04-25,android,1.2.2,<20
2021-04-25,android,1.2.3,69
2021-04-25,android,1.2.4,80
2021-04-25,android,1.2.5,23
2021-04-25,android,1.2.6,78
2021-04-25,android,1.2.7,11132
2021-04-25,android,1.2.8,352
2021-04-25,android,1.2.9,78
2021-04-25,android,1.4.2,<20
2021-04-25,android,1.4.3,<20
2021-04-25,android,1.4.4,<20
2021-04-25,android,1.4.6,<20
2021-04-25,ios,1.2.0,59
2021-04-25,ios,1.2.1,23
2021-04-25,ios,1.2.2,30
2021-04-25,ios,1.2.3,113
2021-04-25,ios,1.2.4,160
2021-04-25,ios,1.2.6,148
2021-04-25,ios,1.2.7,20641
2021-04-25,ios,1.2.8,211
2021-04-25,ios,1.4.0,<20
2021-04-25,ios,1.4.1,<20
2021-05-02,android,1.2.0,27
2021-05-02,android,1.2.1,<20
2021-05-02,android,1.2.2,<20
2021-05-02,android,1.2.3,53
2021-05-02,android,1.2.4,51
2021-05-02,android,1.2.5,<20
2021-05-02,android,1.2.6,35
2021-05-02,android,1.2.7,1019
2021-05-02,android,1.2.8,9787
2021-05-02,android,1.2.9,152
2021-05-02,android,1.4.2,<20
2021-05-02,android,1.4.3,<20
2021-05-02,android,1.4.5,<20
2021-05-02,android,1.4.6,<20
2021-05-02,ios,1.2.0,50
2021-05-02,ios,1.2.1,40
2021-05-02,ios,1.2.2,22
2021-05-02,ios,1.2.3,76
2021-05-02,ios,1.2.4,104
2021-05-02,ios,1.2.6,64
2021-05-02,ios,1.2.7,1472
2021-05-02,ios,1.2.8,18198
2021-05-02,ios,1.2.9,<20
2021-05-02,ios,1.4.0,<20
2021-05-02,ios,1.4.4,<20
2021-05-02,ios,1.4.5,<20
2021-05-09,android,1.2.0,<20
2021-05-09,android,1.2.1,<20
2021-05-09,android,1.2.2,<20
2021-05-09,android,1.2.3,30
2021-05-09,android,1.2.4,42
2021-05-09,android,1.2.5,<20
2021-05-09,android,1.2.6,21
2021-05-09,android,1.2.7,133
2021-05-09,android,1.2.8,9262
2021-05-09,android,1.2.9,241
2021-05-09,android,1.4.2,<20
2021-05-09,android,1.4.3,<20
2021-05-09,android,1.4.4,<20
2021-05-09,android,1.4.5,<20
2021-05-09,android,1.4.6,<20
2021-05-09,android,1.5.3,<20
2021-05-09,ios,1.2.0,42
2021-05-09,ios,1.2.1,26
2021-05-09,ios,1.2.2,21
2021-05-09,ios,1.2.3,55
2021-05-09,ios,1.2.4,67
2021-05-09,ios,1.2.6,38
2021-05-09,ios,1.2.7,165
2021-05-09,ios,1.2.8,16283
2021-05-09,ios,1.2.9,<20
2021-05-09,ios,1.4.0,<20
2021-05-16,android,1.2.0,<20
2021-05-16,android,1.2.1,<20
2021-05-16,android,1.2.2,<20
2021-05-16,android,1.2.3,40
2021-05-16,android,1.2.4,22
2021-05-16,android,1.2.5,<20
2021-05-16,android,1.2.6,<20
2021-05-16,android,1.2.7,66
2021-05-16,android,1.2.8,7784
2021-05-16,android,1.2.9,316
2021-05-16,android,1.4.2,<20
2021-05-16,android,1.4.3,<20
2021-05-16,android,1.4.4,<20
2021-05-16,android,1.4.5,<20
2021-05-16,android,1.4.6,<20
2021-05-16,ios,1.2.0,27
2021-05-16,ios,1.2.1,<20
2021-05-16,ios,1.2.2,20
2021-05-16,ios,1.2.3,37
2021-05-16,ios,1.2.4,50
2021-05-16,ios,1.2.6,29
2021-05-16,ios,1.2.7,123
2021-05-16,ios,1.2.8,13486
2021-05-16,ios,1.2.9,30
2021-05-16,ios,1.4.0,<20
2021-05-16,ios,1.4.4,<20
2021-05-16,ios,1.4.6,<20
2021-05-16,ios,1.5.3,<20
2021-05-23,android,1.2.0,<20
2021-05-23,android,1.2.1,<20
2021-05-23,android,1.2.2,<20
2021-05-23,android,1.2.3,26
2021-05-23,android,1.2.4,22
