date,action,count
2021-02-28,off,955
2021-02-28,on,17291003
2021-03-07,off,1633
2021-03-07,on,30048584
2021-03-14,off,1879
2021-03-14,on,30888496
2021-03-21,off,2802
2021-03-21,on,29716776
2021-03-28,off,2400
2021-03-28,on,30042345
