date,number_of_checks-no_verification,count-nombre
2021-12-05,7-12,11671945
2021-12-05,13-30,30278
2021-12-05,30+,<20
2021-12-12,0,<20
2021-12-12,1-6,7294956
2021-12-12,7-12,11526747
2021-12-12,13-30,29779
2021-12-12,30+,<20
2021-12-19,0,<20
2021-12-19,1-6,7377987
2021-12-19,7-12,11450480
2021-12-19,13-30,30562
2021-12-19,30+,<20
2021-12-26,0,<20
2021-12-26,1-6,7356977
2021-12-26,7-12,11510695
2021-12-26,13-30,31899
2021-12-26,30+,<20
2022-01-02,0,<20
2022-01-02,1-6,7414160
2022-01-02,7-12,11371984
2022-01-02,13-30,30388
2022-01-02,30+,<20
2022-01-09,0,<20
2022-01-09,1-6,7331485
2022-01-09,7-12,11459853
2022-01-09,13-30,28817
2022-01-09,30+,<20
2022-01-16,0,<20
2022-01-16,1-6,7173327
2022-01-16,7-12,11459881
2022-01-16,13-30,28387
2022-01-16,30+,<20
