date,region,is_date_provided,count
2021-01-01,AB,true,<20
2021-01-01,AB,false,<20
2021-01-01,BC,true,<20
2021-01-01,BC,false,<20
2021-01-01,MB,true,<20
2021-01-01,MB,false,<20
2021-01-01,NB,true,<20
2021-01-01,NB,false,<20
2021-01-01,NL,true,<20
2021-01-01,NL,false,<20
2021-01-01,NT,true,<20
2021-01-01,NT,false,<20
2021-01-01,NS,true,<20
2021-01-01,NS,false,<20
2021-01-01,NU,true,<20
2021-01-01,NU,false,<20
2021-01-01,ON,true,<20
2021-01-01,ON,false,<20
2021-01-01,PE,true,<20
2021-01-01,PE,false,<20
2021-01-01,QC,true,<20
2021-01-01,QC,false,<20
2021-01-01,SK,true,<20
2021-01-01,SK,false,<20
2021-01-01,YT,true,<20
2021-01-01,YT,false,<20
2021-01-01,NPTS,true,<20
2021-01-01,NPTS,false,<20
2021-01-02,AB,true,<20
2021-01-02,AB,false,<20
2021-01-02,BC,true,<20
2021-01-02,BC,false,<20
2021-01-02,MB,true,<20
2021-01-02,MB,false,<20
2021-01-02,NB,true,<20
2021-01-02,NB,false,<20
2021-01-02,NL,true,<20
2021-01-02,NL,false,<20
2021-01-02,NT,true,<20
2021-01-02,NT,false,<20
2021-01-02,NS,true,<20
2021-01-02,NS,false,<20
2021-01-02,NU,true,<20
2021-01-02,NU,false,<20
2021-01-02,ON,true,<20
2021-01-02,ON,false,<20
2021-01-02,PE,true,<20
2021-01-02,PE,false,<20
2021-01-02,QC,true,<20
2021-01-02,QC,false,<20
2021-01-02,SK,true,<20
2021-01-02,SK,false,<20
2021-01-02,YT,true,<20
2021-01-02,YT,false,<20
2021-01-02,NPTS,true,<20
2021-01-02,NPTS,false,<20
2021-01-03,AB,true,<20
2021-01-03,AB,false,<20
2021-01-03,BC,true,<20
2021-01-03,BC,false,<20
2021-01-03,MB,true,<20
2021-01-03,MB,false,<20
2021-01-03,NB,true,<20
2021-01-03,NB,false,<20
2021-01-03,NL,true,<20
2021-01-03,NL,false,<20
2021-01-03,NT,true,<20
2021-01-03,NT,false,<20
2021-01-03,NS,true,<20
2021-01-03,NS,false,<20
2021-01-03,NU,true,<20
2021-01-03,NU,false,<20
2021-01-03,ON,true,<20
2021-01-03,ON,false,<20
2021-01-03,PE,true,<20
2021-01-03,PE,false,<20
2021-01-03,QC,true,<20
2021-01-03,QC,false,<20
2021-01-03,SK,true,<20
2021-01-03,SK,false,<20
2021-01-03,YT,true,<20
2021-01-03,YT,false,<20
2021-01-03,NPTS,true,<20
2021-01-03,NPTS,false,<20
2021-01-04,AB,true,<20
2021-01-04,AB,false,<20
2021-01-04,BC,true,<20
2021-01-04,BC,false,<20
2021-01-04,MB,true,<20
2021-01-04,MB,false,<20
2021-01-04,NB,true,<20
2021-01-04,NB,false,<20
2021-01-04,NL,true,<20
2021-01-04,NL,false,<20
2021-01-04,NT,true,<20
2021-01-04,NT,false,<20
2021-01-04,NS,true,<20
2021-01-04,NS,false,<20
2021-01-04,NU,true,<20
2021-01-04,NU,false,<20
2021-01-04,ON,true,<20
2021-01-04,ON,false,<20
2021-01-04,PE,true,<20
2021-01-04,PE,false,<20
2021-01-04,QC,true,<20
2021-01-04,QC,false,<20
2021-01-04,SK,true,<20
2021-01-04,SK,false,<20
2021-01-04,YT,true,<20
2021-01-04,YT,false,<20
2021-01-04,NPTS,true,<20
2021-01-04,NPTS,false,<20
2021-01-05,AB,true,<20
2021-01-05,AB,false,<20
2021-01-05,BC,true,<20
2021-01-05,BC,false,<20
2021-01-05,MB,true,<20
2021-01-05,MB,false,<20
