date,region,isUserExposed,count
2021-03-02,ON,true,<20
2021-03-02,ON,false,<20
2021-03-02,PE,true,<20
2021-03-02,PE,false,<20
2021-03-02,QC,true,<20
2021-03-02,QC,false,<20
2021-03-02,SK,true,<20
2021-03-02,SK,false,<20
2021-03-02,YT,true,<20
2021-03-02,YT,false,<20
2021-03-02,NPTS,true,<20
2021-03-02,NPTS,false,<20
2021-03-03,AB,true,<20
2021-03-03,AB,false,<20
2021-03-03,BC,true,<20
2021-03-03,BC,false,<20
2021-03-03,MB,true,<20
2021-03-03,MB,false,<20
2021-03-03,NB,true,<20
2021-03-03,NB,false,<20
2021-03-03,NL,true,<20
2021-03-03,NL,false,<20
2021-03-03,NT,true,<20
2021-03-03,NT,false,<20
2021-03-03,NS,true,<20
2021-03-03,NS,false,<20
2021-03-03,NU,true,<20
2021-03-03,NU,false,<20
2021-03-03,ON,true,<20
2021-03-03,ON,false,<20
2021-03-03,PE,true,<20
2021-03-03,PE,false,<20
2021-03-03,QC,true,<20
2021-03-03,QC,false,<20
2021-03-03,SK,true,<20
2021-03-03,SK,false,<20
2021-03-03,YT,true,<20
2021-03-03,YT,false,<20
2021-03-03,NPTS,true,<20
2021-03-03,NPTS,false,<20
2021-03-04,AB,true,<20
2021-03-04,AB,false,<20
2021-03-04,BC,true,<20
2021-03-04,BC,false,<20
2021-03-04,MB,true,<20
2021-03-04,MB,false,<20
2021-03-04,NB,true,<20
2021-03-04,NB,false,<20
2021-03-04,NL,true,<20
2021-03-04,NL,false,<20
2021-03-04,NT,true,<20
2021-03-04,NT,false,<20
2021-03-04,NS,true,<20
2021-03-04,NS,false,<20
2021-03-04,NU,true,<20
2021-03-04,NU,false,<20
2021-03-04,ON,true,<20
2021-03-04,ON,false,<20
2021-03-04,PE,true,<20
2021-03-04,PE,false,<20
2021-03-04,QC,true,<20
2021-03-04,QC,false,<20
2021-03-04,SK,true,<20
2021-03-04,SK,false,<20
2021-03-04,YT,true,<20
2021-03-04,YT,false,<20
2021-03-04,NPTS,true,<20
2021-03-04,NPTS,false,<20
2021-03-05,AB,true,<20
2021-03-05,AB,false,<20
2021-03-05,BC,true,<20
2021-03-05,BC,false,<20
2021-03-05,MB,true,<20
2021-03-05,MB,false,<20
2021-03-05,NB,true,<20
2021-03-05,NB,false,<20
2021-03-05,NL,true,<20
2021-03-05,NL,false,<20
2021-03-05,NT,true,<20
2021-03-05,NT,false,<20
2021-03-05,NS,true,<20
2021-03-05,NS,false,<20
2021-03-05,NU,true,<20
2021-03-05,NU,false,<20
2021-03-05,ON,true,<20
2021-03-05,ON,false,<20
2021-03-05,PE,true,<20
2021-03-05,PE,false,<20
2021-03-05,QC,true,<20
2021-03-05,QC,false,<20
2021-03-05,SK,true,<20
2021-03-05,SK,false,<20
2021-03-05,YT,true,<20
2021-03-05,YT,false,<20
2021-03-05,NPTS,true,<20
2021-03-05,NPTS,false,<20
2021-03-06,AB,true,<20
2021-03-06,AB,false,<20
2021-03-06,BC,true,<20
2021-03-06,BC,false,<20
2021-03-06,MB,true,<20
2021-03-06,MB,false,<20
2021-03-06,NB,true,<20
2021-03-06,NB,false,<20
2021-03-06,NL,true,<20
2021-03-06,NL,false,<20
2021-03-06,NT,true,<20
2021-03-06,NT,false,<20
2021-03-06,NS,true,<20
2021-03-06,NS,false,<20
2021-03-06,NU,true,<20
2021-03-06,NU,false,<20
2021-03-06,ON,true,<20
2021-03-06,ON,false,<20
2021-03-06,PE,true,<20
2021-03-06,PE,false,<20
2021-03-06,QC,true,<20
2021-03-06,QC,false,<20
2021-03-06,SK,true,<20
2021-03-06,SK,false,<20
2021-03-06,YT,true,<20
2021-03-06,YT,false,<20
2021-03-06,NPTS,true,<20
2021-03-06,NPTS,false,<20
2021-03-07,AB,true,<20
2021-03-07,AB,false,<20
2021-03-07,BC,true,<20
2021-03-07,BC,false,<20
2021-03-07,MB,true,<20
2021-03-07,MB,false,<20
2021-03-07,NB,true,<20
2021-03-07,NB,false,<20
2021-03-07,NL,true,<20
2021-03-07,NL,false,<20
2021-03-07,NT,true,<20
2021-03-07,NT,false,<20
2021-03-07,NS,true,<20
2021-03-07,NS,false,<20
2021-03-07,NU,true,<20
2021-03-07,NU,false,<20
2021-03-07,ON,true,<20
2021-03-07,ON,false,<20
2021-03-07,PE,true,<20
2021-03-07,PE,false,<20
2021-03-07,QC,true,<20
2021-03-07,QC,false,<20
2021-03-07,SK,true,<20
2021-03-07,SK,false,<20
2021-03-07,YT,true,<20
2021-03-07,YT,false,<20
2021-03-07,NPTS,true,<20
2021-03-07,NPTS,false,<20
2021-03-08,AB,true,<20
2021-03-08,AB,false,<20
2021-03-08,BC,true,<20
2021-03-08,BC,false,<20
2021-03-08,MB,true,<20
2021-03-08,MB,false,<20
2021-03-08,NB,true,<20
2021-03-08,NB,false,<20
2021-03-08,NL,true,<20
2021-03-08,NL,false,<20
2021-03-08,NT,true,<20
2021-03-08,NT,false,<20
2021-03-08,NS,true,<20
2021-03-08,NS,false,<20
2021-03-08,NU,true,<20
2021-03-08,NU,false,<20
2021-03-08,ON,true,<20
2021-03-08,ON,false,<20
2021-03-08,PE,true,<20
2021-03-08,PE,false,<20
2021-03-08,QC,true,<20
2021-03-08,QC,false,<20
2021-03-08,SK,true,<20
2021-03-08,SK,false,<20
2021-03-08,YT,true,<20
2021-03-08,YT,false,<20
2021-03-08,NPTS,true,<20
2021-03-08,NPTS,false,<20
2021-03-09,AB,true,<20
2021-03-09,AB,false,<20
2021-03-09,BC,true,<20
2021-03-09,BC,false,<20
2021-03-09,MB,true,<20
2021-03-09,MB,false,<20
2021-03-09,NB,true,<20
2021-03-09,NB,false,<20
2021-03-09,NL,true,<20
2021-03-09,NL,false,<20
2021-03-09,NT,true,<20
2021-03-09,NT,false,<20
2021-03-09,NS,true,<20
2021-03-09,NS,false,<20
2021-03-09,NU,true,<20
2021-03-09,NU,false,<20
2021-03-09,ON,true,<20
2021-03-09,ON,false,<20
2021-03-09,PE,true,<20
2021-03-09,PE,false,<20
2021-03-09,QC,true,<20
2021-03-09,QC,false,<20
2021-03-09,SK,true,<20
2021-03-09,SK,false,<20
2021-03-09,YT,true,<20
2021-03-09,YT,false,<20
2021-03-09,NPTS,true,<20
2021-03-09,NPTS,false,<20
2021-03-10,AB,true,<20
2021-03-10,AB,false,<20
2021-03-10,BC,true,<20
2021-03-10,BC,false,<20
2021-03-10,MB,true,<20
2021-03-10,MB,false,<20
2021-03-10,NB,true,<20
2021-03-10,NB,false,<20
2021-03-10,NL,true,<20
2021-03-10,NL,false,<20
2021-03-10,NT,true,<20
2021-03-10,NT,false,<20
2021-03-10,NS,true,<20
2021-03-10,NS,false,<20
2021-03-10,NU,true,<20
2021-03-10,NU,false,<20
2021-03-10,ON,true,<20
2021-03-10,ON,false,<20
2021-03-10,PE,true,<20
2021-03-10,PE,false,<20
2021-03-10,QC,true,<20
2021-03-10,QC,false,<20
2021-03-10,SK,true,<20
2021-03-10,SK,false,<20
2021-03-10,YT,true,<20
2021-03-10,YT,false,<20
2021-03-10,NPTS,true,<20
2021-03-10,NPTS,false,<20
2021-03-11,AB,true,<20
2021-03-11,AB,false,<20
2021-03-11,BC,true,<20
2021-03-11,BC,false,<20
2021-03-11,MB,true,<20
2021-03-11,MB,false,<20
2021-03-11,NB,true,<20
2021-03-11,NB,false,<20
2021-03-11,NL,true,<20
2021-03-11,NL,false,<20
2021-03-11,NT,true,<20
2021-03-11,NT,false,<20
2021-03-11,NS,true,<20
2021-03-11,NS,false,<20
2021-03-11,NU,true,<20
2021-03-11,NU,false,<20
2021-03-11,ON,true,<20
2021-03-11,ON,false,<20
2021-03-11,PE,true,<20
2021-03-11,PE,false,<20
2021-03-11,QC,true,<20
2021-03-11,QC,false,<20
2021-03-11,SK,true,<20
2021-03-11,SK,false,<20
2021-03-11,YT,true,<20
2021-03-11,YT,false,<20
2021-03-11,NPTS,true,<20
2021-03-11,NPTS,false,<20
2021-03-12,AB,true,<20
2021-03-12,AB,false,<20
2021-03-12,BC,true,<20
2021-03-12,BC,false,<20
2021-03-12,MB,true,<20
2021-03-12,MB,false,<20
